Date,Production
2017-07-01,226.9
2017-08-01,250.9
2017-09-01,226.2
2017-10-01,228
2017-11-01,227.8
2017-12-01,224.1
2018-01-01,220.2
2018-02-01,244.1
2018-03-01,248.4
2018-04-01,242.8
2018-05-01,226.7
2018-06-01,220.6
2018-07-01,209.2
2018-08-01,213
2018-09-01,230.2
2018-10-01,235.6
2018-11-01,237.2
2018-12-01,254.4
2019-01-01,238.1
2019-02-01,221.7
2019-03-01,0
2019-04-01,0
2019-05-01,0
2019-06-01,0
2019-07-01,0
2019-08-01,0
2019-09-01,0
2019-10-01,0
2019-11-01,0
2019-12-01,0
2020-01-01,0
2020-02-01,0
2020-03-01,0
2020-04-01,0
2020-05-01,0
2020-06-01,0
2020-07-01,0
2020-08-01,0
2020-09-01,0
2020-10-01,0
2020-11-01,0
2020-12-01,0
2021-01-01,0
2021-02-01,0
2021-03-01,0
2021-04-01,0
2021-05-01,0
2021-06-01,0
2021-07-01,0
2021-08-01,0
2021-09-01,0
2021-10-01,0
2021-11-01,0
2021-12-01,0
2022-01-01,0
2022-02-01,0
