Date,GDP
1993,6.87872E+12
1994,7.30876E+12
1995,7.66406E+12
1996,8.1002E+12
1997,8.60852E+12
1998,9.08917E+12
1999,9.66062E+12
2000,1.02848E+13
2001,1.06218E+13
2002,1.09775E+13
2003,1.15107E+13
2004,1.22749E+13
2005,1.30937E+13
2006,1.38559E+13
2007,1.44776E+13
2008,1.47186E+13
2009,1.44187E+13
2010,1.49644E+13
2011,1.55179E+13
2012,1.61553E+13
2013,1.66915E+13
2014,1.74276E+13
2015,1.81207E+13
2016,1.86245E+13
2017,1.93906E+13
2018,0
2019,0
2020,0
2021,0
2022,0
